dt_venda;cod_prod;cod_cliente;pr_custo;pr_unit;qtd
01/01/2019;2;6;R$ 1,12;R$ 1,18;63
01/01/2019;5;3;R$ 3,00;R$ 4,28;21
01/01/2019;6;1;R$ 2,85;R$ 3,00;93
01/01/2019;9;10;R$ 8,13;R$ 8,56;77
01/01/2019;6;9;R$ 2,85;R$ 3,00;47
01/01/2019;9;6;R$ 2,64;R$ 2,78;92
01/01/2019;4;2;R$ 1,69;R$ 2,41;54
01/01/2019;7;10;R$ 1,01;R$ 1,44;64
01/01/2019;6;9;R$ 2,85;R$ 3,00;39
01/01/2019;6;2;R$ 2,85;R$ 3,00;79
01/01/2019;6;3;R$ 2,85;R$ 3,00;88
01/01/2019;4;4;R$ 1,69;R$ 2,41;82
01/01/2019;4;10;R$ 1,69;R$ 2,41;84
01/01/2019;4;2;R$ 1,69;R$ 2,41;19
01/01/2019;2;2;R$ 1,12;R$ 1,18;82
01/01/2019;9;10;R$ 8,13;R$ 8,56;49
01/01/2019;2;5;R$ 1,12;R$ 1,18;90
01/01/2019;5;7;R$ 3,00;R$ 4,28;58
01/01/2019;7;8;R$ 1,01;R$ 1,44;29
01/01/2019;3;7;R$ 0,77;R$ 0,96;111
01/01/2019;4;7;R$ 1,69;R$ 2,41;52
01/01/2019;7;7;R$ 1,00;R$ 1,43;66
01/01/2019;9;7;R$ 2,56;R$ 2,70;22
01/01/2019;4;8;R$ 1,67;R$ 2,39;71
01/01/2019;4;5;R$ 1,74;R$ 2,48;60
01/01/2019;4;6;R$ 1,74;R$ 2,48;13
01/01/2019;7;6;R$ 0,99;R$ 1,41;90
01/01/2019;9;1;R$ 2,56;R$ 2,70;26
01/01/2019;7;2;R$ 1,00;R$ 1,43;111
01/01/2019;3;1;R$ 0,79;R$ 0,99;76
01/01/2019;5;7;R$ 3,03;R$ 4,32;111
01/01/2019;5;3;R$ 2,94;R$ 4,19;100
01/01/2019;5;6;R$ 2,97;R$ 4,24;99
01/01/2019;6;3;R$ 2,85;R$ 3,00;107
01/01/2019;2;2;R$ 1,09;R$ 1,14;37
01/01/2019;9;8;R$ 2,61;R$ 2,75;16
01/01/2019;7;9;R$ 0,98;R$ 1,40;75
01/01/2019;4;4;R$ 1,64;R$ 2,34;51
01/01/2019;5;4;R$ 2,94;R$ 4,19;114
01/01/2019;9;3;R$ 8,29;R$ 8,73;108
02/01/2019;4;3;R$ 1,69;R$ 2,41;15
02/01/2019;4;1;R$ 1,69;R$ 2,41;103
02/01/2019;9;9;R$ 2,64;R$ 2,78;95
02/01/2019;9;6;R$ 8,13;R$ 8,56;89
02/01/2019;9;8;R$ 8,13;R$ 8,56;17
